;;;1;2;;;;;
;;;;;;;;;
;;;;;;;;;
;AIRBNB;Comptabilité;Comptabilité;Comptabilité;Comptabilité;Comptabilité;;Comptabilité;Comptabilité
Code Appartement;Titre Airbnb Annonce;Code Comptable;Compte 411AIRBNB;Compte 411BOOKING;Compte 411VRBO;Compte 411PLUMGUIDE;Nom Appartement;Compte 411Website;Compte 411MARRIOTT
P08-MER21-0G;Cocoon Loft Champs-Elysees Best Location in Paris;MER21-0G;411AIRBNB MER21-0G;411BOOKING MER21-0G;411VRBO MER21-0G;411PLUMGUIDE MER21-0G;Merveil - Luxury Suite - Champs Elysées - Mermoz;411Website MER21-0G;411MARRIOTT MER21-0G
P01-STD97-1G;Luxury 3 Bedroom 2 Bathroom Loft - Louvre Museum;STD97-1G;411AIRBNB STD97-1G;411BOOKING STD97-1G;411VRBO STD97-1G;411PLUMGUIDE STD97-1G;Merveil - Luxury Suite - Marais - Saint Denis I;411Website STD97-1G;411MARRIOTT STD97-1G
P08-ROY15-5D;Luxury 2 Bedroom - Louvre & Champs Elysees;ROY15-5D;411AIRBNB ROY15-5D;411BOOKING ROY15-5D;411VRBO ROY15-5D;411PLUMGUIDE ROY15-5D;Merveil - Luxury Suite - Champs Elysees - Royale I;411Website ROY15-5D;411MARRIOTT ROY15-5D
P08-ROY15-6D;Luxury 2 Bedroom Duplex - Saint Honore View;ROY15-6D;411AIRBNB ROY15-6D;411BOOKING ROY15-6D;411VRBO ROY15-6D;411PLUMGUIDE ROY15-6D;Merveil Luxury Suite Royale II - Saint Honore view;411Website ROY15-6D;411MARRIOTT ROY15-6D
P02-ABO52-0D;Luxury 3 bedroom 2 bathroom with AC - Louvre;ABO52-0D;411AIRBNB ABO52-0D;411BOOKING ABO52-0D;411VRBO ABO52-0D;411PLUMGUIDE ABO52-0D;Merveil - Luxury Suite - Louvre - Aboukir I;411Website ABO52-0D;411MARRIOTT ABO52-0D
P02-ABO52-1F;Luxury 2 Bedroom 2 Bathroom Louvre & Marais;ABO52-1F;411AIRBNB ABO52-1F;411BOOKING ABO52-1F;411VRBO ABO52-1F;411PLUMGUIDE ABO52-1F;Merveil - Luxury Suite - Louvre - Aboukir II;411Website ABO52-1F;411MARRIOTT ABO52-1F
P02-ABO52-2G;Luxury 2 bedroom 2 bathroom - Louvre;ABO52-2G;411AIRBNB ABO52-2G;411BOOKING ABO52-2G;411VRBO ABO52-2G;411PLUMGUIDE ABO52-2G;Merveil - Luxury Suite - Louvre - Aboukir III;411Website ABO52-2G;411MARRIOTT ABO52-2G
P02-ABO52-2D;Luxury 2 Bedroom 2 Bathroom - Louvre Museum;ABO52-2D;411AIRBNB ABO52-2D;411BOOKING ABO52-2D;411VRBO ABO52-2D;411PLUMGUIDE ABO52-2D;Merveil - Luxury Suite - Louvre - Aboukir IV;411Website ABO52-2D;411MARRIOTT ABO52-2D
P01-RAM80-1G;Luxury 4 bedroom 2 bathroom Apartment - Louvre;RAM80-1G;411AIRBNB RAM80-1G;411BOOKING RAM80-1G;411VRBO RAM80-1G;411PLUMGUIDE RAM80-1G;Merveil - Luxury Suite - Louvre - Rambuteau;411Website RAM80-1G;411MARRIOTT RAM80-1G
P02-ABO69-1D;Luxury 3 bedroom 2 bathroom Palace Apartment - AC;ABO69-1D;411AIRBNB ABO69-1D;411BOOKING ABO69-1D;411VRBO ABO69-1D;411PLUMGUIDE ABO69-1D;Merveil - Luxury Suite - Louvre - Aboukir V;411Website ABO69-1D;411MARRIOTT ABO69-1D
